"Número da Notificação";Estado da Notificação;Município da Notificação;Telefone 1;Estado de Residência;Sexo;Tem CPF?;Estrangeiro;CPF;Município de Residência;CNS;Data de Nascimento;Passaporte;Nome Completo da Mãe;Pais de origem;Telefone 2;Nome Completo;É profissional de saúde?;CBO;CEP;Logradouro;Número (ou SN para Sem Número);Complemento;Bairro;Raça/Cor;Profissional de Segurança;Etnia;E-mail;Comunidade/Povo Tradicional?;Comunidade/Povo Tradicional;Se triagem de população específica;Descrição triagem população específica;Descrição local de testagem;Descrição busca ativa assintomatico;Estratégia;Local de realização da testagem;Se busca ativa de assintomático;Data dose de Reforço;Lote 1a Dose;Recebeu vacina Covid-19?;Doses;Descrição do Sintoma;Data da Notificação;Sintoma- Dor de Garganta;Sintoma- Dispneia;Sintoma- Febre;Sintoma- Tosse;Sintoma- Outros;Sintoma- Dor de Cabeça;Sintoma- Distúrbios Gustativos;Sintoma- Distúrbios Olfativos;Sintoma- Coriza;Sintoma- assintomático;Laboratório produtor dose de Reforço;Condições- Doenças respiratórias crônicas descompensadas;Condições- Doenças cardíacas crônicas;Condições- Diabetes;Condições- Doenças renais crônicas em estç¡gio avançado (graus 3, 4 ou 5);Condições- Imunossupressão;Condições- Gestante;Condições- Portador de Doenças cromossomicas ou estado de fragilidade imunológica;Condições- Puérpera (até 45 dias do parto);Condições- Obesidade;Condições- Outros;Data do início dos sintomas;Descrição da Condição;Laboratório produtor 1a Dose;Lote dose de Reforço;Data 1a Dose;Data 2a Dose;Laboratório produtor 2a Dose;Lote 2a Dose;Estado do Teste RT-PCR;Data da Coleta RT-PCR;Resultado RT-PCR;Estado do Teste RT-LAMP;Data da Coleta RT-LAMP;Resultado RT-LAMP;Estado do Teste Sorológico IgA;Data da Coleta Sorológico IgA;Resultado Sorológico IgA;Estado do Teste Sorológico IgM;Data da Coleta Sorológico IgM;Resultado Sorológico IgM;Estado do Teste Sorológico IgG;Data da Coleta Sorológico IgG;Resultado Sorológico IgG;Estado do Teste Sorológico Anticorpos Totais;Data da Coleta Sorológico Anticorpos Totais;Resultado Sorológico Anticorpos Totais;Estado do Teste Rápido anticorpo IgM;Data da Coleta Rápido anticorpo IgM;Resultado Rápido anticorpo IgM;Estado do Teste Rápido anticorpo IgG;Data da Coleta Rápido anticorpo IgG;Resultado Rápido anticorpo IgG;Estado do Teste Rápido antígeno;Data da Coleta Rápido antígeno;Resultado Rápido antígeno;Lote TR Antígeno;Fabricante TR Antígeno;Estado do Teste Outros 1;Tipo de Teste Outros 1;Data da Coleta Outros 1;Resultado Outros 1;Lote Outros 1;Fabricante Outros 1;Tipo de Teste Outros 2;Estado do Teste Outros 2;Data da Coleta Outros 2;Resultado Outros 2;Lote Outros 2;Fabricante Outros 2;Tipo de Teste Outros 3;Estado do Teste Outros 3;Data da Coleta Outros 3;Resultado Outros 3;Lote Outros 3;Fabricante Outros 3;Data de encerramento;Evolução Caso;Classificação Final;CNES Laboratório;CNES Notificação;Notificante CPF;Notificante Email;Notificante Nome Completo;Notificante CNPJ
"4074074074074";Rosas;Begônia;(33) 98888-8888;Rosas;feminino;Sim;;100.096.867-70;Flor de Lis;34719948;14/05/1981;;Jamila Rodrigues Rocha;;;Vitória Rodrigues Rocha;Não;;33.088-000;LAMENTAÇÕES;202;FAMILIA B;CHACARA TRISTEZA;Ignorado;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;15/01/2022;215XZ063W;Sim;2a Dose, 1a Dose, Reforço;;05/08/2022;Sim;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;PFIZER;Não;Sim;Não;Não;Não;Não;Não;Não;Não;Não;08/08/2022;;ASTRAZENECA/FIOCRUZ;FL3196;04/06/2021;28/08/2021;ASTRAZENECA/FIOCRUZ;217VCD221W;Concluído;10/08/2022;Não detectável;;;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;RT-PCR;10/08/2022;Não detectável;;;;;;;;;;;;;;;;;;;200933;105.299.363-05;joaolegal@yarrú.com.br;Rosimary Goncalves Costa;
"5185185185185";Rosas;Calêndula;(33) 98888-8889;Rosas;feminino;Sim;;100.116.502-06;Flor de Lis;34556621;13/05/1943;;Elizane Cantanhede;;;Luiza Carvalho Sousa;Não;;33.088-000;DOS PEQUENOS MILAGRE;533;;CENTRO;Amarela;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;02/04/2022;FD7219;Sim;Reforço, 2a Dose, 1a Dose;;10/08/2022;Sim;Não;Não;Não;Não;Sim;Não;Não;Não;Não;JANSSEN;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Não;09/08/2022;;PFIZER;202H21A;16/08/2021;08/11/2021;PFIZER;FH8025;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;10/08/2022;Não Reagente;19BFH001B;OUTRAS MARCAS;Concluído;TESTE RÁPIDO - ANTÍGENO;10/08/2022;Não Reagente;19BFH001B;OUTRAS MARCAS;;;;;;;;;;;;;;;;;201045;105.355.024-35;naoseiescrever@email.com;Adelaide Almeida Gomes;
"6296296296296";Rosas;Acácia;(33) 98888-8890;Rosas;Ignorado;Sim;;100.170.002-38;Flor de Lis;15931447;23/12/1987;;;;;Thaís Melo Dias;Não;;33.088-000;AV CONSOLACAO;69;CASA;CENTRO;Ignorado;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;27/07/2022;;Sim;Reforço, 2a Dose;;09/08/2022;Não;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Não;SINOVAC/BUTANTAN;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;08/08/2022;;;210554;;16/12/2021;PFIZER;FH4751;Concluído;10/08/2022;Não detectável;;;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;RT-PCR;10/08/2022;Não detectável;;;;;;;;;;;;;;;;;;;200946;105.358.606-09;mauriciiofelizardo@email.com;Katarina Viegas;
"7407407407407";Rosas;Flor de Lis;(33) 98888-8891;Rosas;feminino;Sim;;100.211.935-92;Flor de Lis;19899455;17/01/1956;;;;;Tânia Fernandes Santos;Não;;33.088-000;R DO  INQUERITO;156;BL ;CENTRO;Branca;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;29/03/2022;210044;Sim;1a Dose, 2a Dose;;28/08/2022;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;JANSSEN;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;01/08/2022;;SINOVAC/BUTANTAN;202H21A;11/03/2021;04/04/2021;SINOVAC/BUTANTAN;210076;Concluído;10/08/2022;Não detectável;;;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;RT-PCR;10/08/2022;Não detectável;;;;;;;;;;;;;;;;;;;200947;105.394.866-20;ruelapequena1979@email.com;Glauce Henrique Lopes;
"8518518518518";Rosas;Calêndula;(33) 98888-8892;Rosas;masculino;Sim;;100.275.472-05;Calêndula;14350706;22/09/1983;;;;;Kaua Cardoso Araujo;Não;;00.000-000;BEIJAFLOR;254;FD;JARDIM PASSAROS;Branca;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;;216VCD191Z;Sim;1a Dose, 2a Dose;;05/08/2022;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Não;;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;08/08/2022;;ASTRAZENECA/FIOCRUZ;;12/08/2021;04/11/2021;ASTRAZENECA/FIOCRUZ;219VCD278W;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;10/08/2022;Não Reagente;2209201;OUTRAS MARCAS;Concluído;TESTE RÁPIDO - ANTÍGENO;10/08/2022;Não Reagente;2209201;OUTRAS MARCAS;;;;;;;;;;;;;;;;;200948;105.444.233-99;emailaceito@yarrú.com.br;Lori Santos Gomes;
"9629629629629";Rosas;Calêndula;(33) 98888-8893;Rosas;masculino;Sim;;100.321.907-19;Calêndula;20005725;30/01/1994;;;;;Gabriel Ferreira Pinto;Não;;00.000-000;R BEIJA FLOR;20;;Jd PASSAROS;Branca;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;;L202106048;Sim;1a Dose, 2a Dose;;25/08/2022;Não;Não;Não;Sim;Não;Sim;Não;Não;Sim;Não;;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;07/08/2022;;SINOVAC/BUTANTAN;;06/08/2021;31/08/2021;SINOVAC/BUTANTAN;210399;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;10/08/2022;Não Reagente;2209201;OUTRAS MARCAS;Concluído;TESTE RÁPIDO - ANTÍGENO;10/08/2022;Não Reagente;2209201;OUTRAS MARCAS;;;;;;;;;;;;;;;;;200948;105.444.233-99;emailaceito@yarrú.com.br;Silvane Souza Pereira;
"1074074074040";Rosas;Flor de Lis;(33) 98888-8894;Rosas;feminino;Sim;;100.569.222-05;Flor de Lis;;14/02/1960;;;;;Anna Lima Dias;Não;;00.000-000;QUERIDO DIARIO;384;;JARDIM NOVO FELIZ;Parda;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;;210380;Sim;2a Dose, 1a Dose;;09/08/2022;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;08/08/2022;;SINOVAC/BUTANTAN;;20/08/2021;15/09/2021;SINOVAC/BUTANTAN;210410A;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;10/08/2022;Não Reagente;2209201;OUTRAS MARCAS;Concluído;TESTE RÁPIDO - ANTÍGENO;10/08/2022;Não Reagente;2209201;OUTRAS MARCAS;;;;;;;;;;;;;;;;;200946;105.358.606-09;mauriciiofelizardo@email.com;Leiliane Araujo Silva;
"1185185181851";Rosas;Cravo;(33) 98888-8895;Rosas;feminino;Sim;;100.586.995-20;Cravo;;25/11/1961;;Luzinete Procopio;;;Anna Sousa Dias;Não;;13.000-000;AVENIDA ESQUECIDA;240;;VILA DORMINHOCA;Ignorado;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;;FE3591;Sim;2a Dose;;10/08/2022;Não;Não;Sim;Não;Não;Sim;Não;Não;Sim;Não;;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;07/08/2022;;PFIZER;;;21/10/2021;PFIZER;FG3530;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;10/08/2022;Não Reagente;SE2106103;INSTITUTO DE BIOLOGIA MOLECULAR DE ROSAS;Concluído;TESTE RÁPIDO - ANTÍGENO;10/08/2022;Não Reagente;SE2106103;INSTITUTO DE BIOLOGIA MOLECULAR DE ROSAS;;;;;;;;;;;;;11/08/2022;Cura;Confirmado Laboratorial;;200947;105.394.866-20;ruelapequena1979@email.com;Fca Costa Oliveira;
"1296296296962";Rosas;Calêndula;(33) 98888-8896;Rosas;Ignorado;Sim;;100.724.239-60;Flor de Lis;;30/05/1948;;Graciete Souza Almeida;;;Gustavo Souza Almeida;Não;;33.088-000;R AMARGURA;40;;BATE BOLA;Ignorado;Não;;;Não;;;;;;Diagnóstico assistencial (sintomático);Serviço de saúde (UBS, hospital, UPA etc.);;25/10/2021;202010028;Sim;1a Dose, Reforço, 2a Dose;;09/08/2022;Não;Não;Não;Não;Não;Sim;Não;Não;Sim;Não;PFIZER;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;10/08/2022;;SINOVAC/BUTANTAN;31065BD;21/01/2021;12/02/2021;SINOVAC/BUTANTAN;202009011;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;10/08/2022;Não Reagente;SE2106103;INSTITUTO DE BIOLOGIA MOLECULAR DE ROSAS;Concluído;TESTE RÁPIDO - ANTÍGENO;10/08/2022;Não Reagente;SE2106103;INSTITUTO DE BIOLOGIA MOLECULAR DE ROSAS;;;;;;;;;;;;;;;;;200933;105.299.363-05;joaolegal@yarrú.com.br;Maiza Rocha Pinto;
"1407407407073";Rosas;Calêndula;(33) 98888-8897;Rosas;feminino;Sim;;100.818.133-17;Flor de Lis;;03/07/1944;;Cristiane Ribeiro Azevedo;;;Eduarda Ribeiro Azevedo;Não;;33.088-000;RUA FELICIDADES;118;ESQUINA FLORES;Jardim FLORADO;Branca;Não;;;Não;;;;;TRIAGEM UNIVERSAL;Busca ativa de assintomático;Serviço de saúde (UBS, hospital, UPA etc.);Outros;;213VCD019W;Sim;1a Dose, 2a Dose;;28/08/2022;Não;Não;Não;Não;Sim;Não;Não;Não;Não;Sim;;Não;Sim;Sim;Não;Não;Não;Não;Não;Sim;Sim;;IAM PREVIO DLP USPA;ASTRAZENECA/FIOCRUZ;;26/04/2021;20/07/2021;ASTRAZENECA/FIOCRUZ;215VCD171Z;Concluído;06/08/2022;Detectç¡vel;;;;;;;;;;;;;;;;;;;;;;;;;;;Concluído;RT-PCR;06/08/2022;Detectç¡vel;;;;;;;;;;;;;;;;;;;201045;105.355.024-35;naoseiescrever@email.com;Sara Rodrigues Dias;
