nu_notific;nome;sexo;data_nasc;idade;cpf;nome_mae
10001569;Kauan Azevedo Azevedo;masculino;1965-07-27;57;622.290.767-95;Analia Azevedo Azevedo
10009876;Raissa Cunha Costa;feminino;1939-07-15;83;662.957.878-35;Agata Cunha Costa
10012252;Rafael Castro Barbosa;masculino;1976-03-28;46;665.935.236-82;Natacha Castro Barbosa
10012410;Vinicius Silva Ribeiro;masculino;1964-02-10;58;532.933.567-10;Aldenir Silva Ribeiro
10017778;Beatriz Araujo Rocha;feminino;1992-03-04;30;602.213.075-16;Raquel de Miranda
10020320;Luís Silva Gomes;masculino;1990-04-21;32;827.768.913-69;Romana Silva Gomes
10025007;Breno Cardoso Silva;masculino;1976-06-15;46;507.679.906-33;Lisiane Cardoso Silva
10027790;Davi Rodrigues Santos;masculino;1989-11-26;32;179.450.307-26;Ivanilda Vilhena
10039208;Giovana Alves Rocha;feminino;1975-04-23;47;808.025.067-71;Isamara Alves Rocha
10039876;Kaua Ribeiro Fernandes;masculino;1964-12-01;57;534.078.377-47;Mauricia Ribeiro Fernandes
10042161;Erick Ferreira Ribeiro;masculino;1988-01-04;34;650.218.126-02;Claudenice Campos
10043051;Leonardo Ferreira Oliveira;masculino;1964-11-25;57;326.360.688-30;Pricila Ferreira Oliveira
10045529;Renan Fernandes Rocha;masculino;1992-05-01;30;275.316.129-17;Iria de Farias
10046813;Camila Silva Gomes;feminino;1957-06-22;65;362.631.396-41;Geraldina Silva Gomes
10047778;Gabrielly Araujo Cunha;feminino;1982-01-13;40;422.176.861-43;Dinair Araujo Cunha
10048693;Kauã Pereira Barros;masculino;1967-09-13;54;549.750.947-97;Lucidalva Pereira Barros
10053538;Vitoria Martins Correia;feminino;1996-10-28;25;539.998.861-53;Valquiria Meneses
10057136;Aline Cavalcanti Rodrigues;feminino;1962-06-27;60;112.839.460-09;Glauce Henrique Lopes
10059521;Carla Silva Silva;feminino;1948-02-28;74;293.803.331-10;Valdemira Silva Silva
10059757;Rafaela Martins Dias;feminino;1952-11-15;69;884.716.206-85;Kemili Martins Dias
10064472;Kaua Goncalves Correia;masculino;1938-08-02;84;769.747.901-04;Rosina Goncalves Correia
10065136;Matheus Cavalcanti Santos;masculino;1965-11-07;56;300.174.364-60;Andrieli Cavalcanti Santos
10065174;Vitór Cunha Pinto;masculino;1960-10-24;61;877.992.296-16;Jackeline Cunha Pinto
10065985;Matheus Silva Souza;masculino;1959-05-23;63;470.086.015-49;Eleni Serpa
10066681;Marina Melo Fernandes;feminino;1951-05-15;71;359.835.644-71;Deolinda Melo Fernandes
10071249;Emilly Pinto Martins;feminino;1944-07-19;78;976.598.055-84;Marileide Pinto Martins
10072562;Vinícius Correia Costa;masculino;1983-01-28;39;377.049.654-74;Camila Correia Costa
10076555;José Carvalho Silva;masculino;1959-03-13;63;584.868.783-81;Roselane Ventura
10078095;Luis Carvalho Rocha;masculino;2002-12-16;19;191.965.635-91;Gleise Carvalho Rocha
